Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	2.7
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	5.1
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	Enterprises with innovation activity	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	10.2
2022	M73 Advertising and market research	No innovation activity	Number of enterprises (no.)	70
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	36.8
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	26.9
2022	M73 Advertising and market research	No innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	45.7
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	26.9
2022	M73 Advertising and market research	No innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	14.1
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	45.3
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	17.9
2022	M73 Advertising and market research	No innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	18.4
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	36.3
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	22.6
2022	M73 Advertising and market research	No innovation activity	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	32.1
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	26.9
2022	M73 Advertising and market research	No innovation activity	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	27.8
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	27.4
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	26.9
2022	M73 Advertising and market research	No innovation activity	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	32.1
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	9.4
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	35.9
2022	M73 Advertising and market research	No innovation activity	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	32.1
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	40.6
2022	M73 Advertising and market research	No innovation activity	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	27.4
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	45.3
2022	M73 Advertising and market research	No innovation activity	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	13.7
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	9.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	4.7
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	M73 Advertising and market research	No innovation activity	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	4.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Number of enterprises (no.)	1008
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	19.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	6.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	23.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	5.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	20.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	5.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	5.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	3.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	8.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	3.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 5, competence at the needed level, share of enterprises (%)	10.5
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	4.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 4, competence at the needed level, share of enterprises (%)	25.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	10.5
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 3, competence at the needed level, share of enterprises (%)	24.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	5.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 2, competence at the needed level, share of enterprises (%)	5.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	2.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 1, competence at the needed level, share of enterprises (%)	6.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	3.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	17.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	6.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	28.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	11.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	15.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	5.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	5.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	3.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	6.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	2.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	13.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	0.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	12.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	6.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	19.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	5.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	15.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	10.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	8.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	6.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	14.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	1.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	26.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	5.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	26.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	6.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	6.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	2.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	7.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	3.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	25.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	7.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	32.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	9.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	10.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	2.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	2.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	1.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	6.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	3.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	9.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	5.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	13.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	13.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	17.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	12.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	3.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	8.5
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	9.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	7.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	7.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	3.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	16.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	9.1
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	17.3
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	9.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	14.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	5.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	10.6
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	5.9
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	7.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	1.8
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	3.7
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	4.0
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	9.2
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	13.4
2022	M71-73 Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	11.0
